['', 'Yizeng Li', 'Update documentation']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['Bokyung Choi', 'Dong-Keon, Oh', 'Update README.md']
['DevFort13', 'BongBenz', "Merge branch 'master' of https://github.com/acer-pro13/calGrade"]
['DevFort13', 'juttimad', "Merge branch 'master' of https://github.com/acer-pro13/calGrade"]
['BongBenz', 'juttimad', "Merge branch 'master' of https://github.com/acer-pro13/calGrade"]
['Boon Guan', 'Xtt1206', "Merge remote-tracking branch 'XM16/dev' into dev"]
['BOON GUAN', 'Shirohige', 'Delete SQL.pdf']
['BOON GUAN', 'Shirohige', 'Delete xiaomoDB.sql']
['Boon Guan', 'Xtt1206', "Merge remote-tracking branch 'XM16/dev' into dev"]
['Palesse', 'egorMiwa1', 'feat: page list of producers']
['Elena FdR', 'Boris van Hoytema', "Merge branch 'develop' into phone-numbers"]
['Arnaud Botella', 'BotellaA', "Merge branch 'v3' into feat/internal-id"]
['Arnaud Botella', 'BotellaA', "Merge branch 'v3' into feat/internal-id"]
['Georgi Raykov', 'Boz Zashev', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Georgi Raykov', 'Boz Zashev', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Boz Zashev', 'Georgi Raykov', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Boz Zashev', 'Georgi Raykov', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Boz Zashev', 'Georgi Raykov', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Georgi Raykov', 'Boz Zashev', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Georgi Raykov', 'Boz Zashev', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['Boz Zashev', 'Georgi Raykov', "Merge branch 'master' of https://github.com/WebVella/WebVella-ERP"]
['BozzaCoon', 'Rackel', "Merge branch 'release-1.8.57' into preview-1.8.58"]
['BozzaCoon', 'Rackel', "Merge branch 'release-1.8.57' into preview-1.8.58"]
['BozzaCoon', 'Rackel', "Merge branch 'release-1.8.57' into preview-1.8.58"]
['Gatare Libère', 'yevhen orlov', "Merge branch 'master' into master"]
['Brady Hammond', 'Michael Mendoza', "Merge branch 'fast_recovery' into dev"]
['Brady Miller', 'Robert Down RN', 'Update ip_map_branch.txt']
['Robert Down RN', 'Brady Miller', 'Update ip_map_branch.txt']
['Robert Down RN', 'Brady Miller', 'Update ip_map_branch.txt']
['Robert Down RN', 'Brady Miller', 'Update ip_map_branch.txt']
['Robert Down RN', 'Brady Miller', 'Update ip_map_branch.txt']
['olgakaramyseva', 'Brandon Harris', 'update']
['olgakaramyseva', 'Brandon Harris', 'update']
['olgakaramyseva', 'Brandon Harris', 'update']
['olgakaramyseva', 'Brandon Harris', 'update']
['olgakaramyseva', 'Brandon Harris', 'update']
['olgakaramyseva', 'Brandon Harris', 'update']
['Wilhelm Klopp', 'Thomas Hughes', "Merge branch 'master' into verify-permissions"]
['Wilhelm Klopp', 'Thomas Hughes', "Merge branch 'master' into verify-permissions"]
['dangm', 'Lukas Lojka', "Merge branch 'master' of https://github.com/bran-mot/git-advanced"]
['Brandy Mello', 'Brianna DelValle', 'Resolve merge conflicts']
['branen', 'Branen Salmon', "Merge branch 'master' into es_repo_base"]
['Branen Salmon', 'branen', "Merge branch 'master' into es_repo_base"]
['Branen Salmon', 'branen', "Merge branch 'master' into es_repo_base"]
['BraveLittleTapok', 'Shabanova Dinara', 'exercise2']
['BrendaVielmas', 'Denisse', "Merge branch 'master' into master"]
['William Shepherd', 'Brendan Forster', "Merge branch 'development' into warn-but-continue-with-stash"]
['William Shepherd', 'Brendan Forster', "Merge branch 'development' into warn-but-continue-with-stash"]
['William Shepherd', 'evelyn masso', "Merge branch 'development' into warn-but-continue-with-stash"]
['Brendan Forster', 'William Shepherd', "Merge branch 'development' into warn-but-continue-with-stash"]
['Brendan Forster', 'evelyn masso', "Merge branch 'development' into warn-but-continue-with-stash"]
['William Shepherd', 'Brendan Forster', "Merge branch 'development' into warn-but-continue-with-stash"]
['William Shepherd', 'evelyn masso', "Merge branch 'development' into warn-but-continue-with-stash"]
['Brendan Forster', 'evelyn masso', "Merge branch 'development' into warn-but-continue-with-stash"]
['Brendon Carrier', 'Wleohy', 'Update 2019-02-26']
['Brendon Carrier', 'Beck', 'Update 2019-02-26']
['Brendon Carrier', 'robhamblen', 'Update 2019-02-26']
['Wleohy', 'Beck', 'Update 2019-02-26']
['Wleohy', 'robhamblen', 'Update 2019-02-26']
['Beck', 'robhamblen', 'Update 2019-02-26']
['Vadim Nicolai', 'Brent Christensen', "Merge branch 'EDTR/refactor-master' into EDTR/fix-modal-close"]
['Vadim Nicolai', 'Brent Christensen', "Merge branch 'EDTR/refactor-master' into EDTR/fix-modal-close"]
['Dima Shevtsov', 'Dmitry Shevtsov', "Merge branch 'master' into BICs-2.3"]
['Brett Samblanet', 'Fabio Cavalcante', "Merge branch 'master' into dev"]
['Brett V. Forsgren', 'Kevin Ransom (msft)', "Merge branch 'release/dev16.5' into merges/release/dev16.4-to-release/dev16.5"]
['Ryan', 'Chris', "Merge branch 'master' into frye"]
['Leonardo Barros', 'marcelabc', 'LPS-89104 Update GraphQL schema']
['Leonardo Barros', 'marcelabc', 'LPS-89104 Add GraphQL data fetchers']
['Kevin DeJong', 'Denny Schäfer', "Merge branch 'master' into master"]
['Brian Wilson', 'Brian H Wilson', 'Clean up']
['davidjones7777', 'magmay9221', 'dummy commit']
['Brice Lambson', 'MikaelMengistu', "Merge branch 'release/2.1' into release/2.2"]
['Brice Lambson', 'MikaelMengistu', "Merge branch 'release/2.1' into release/2.2"]
['Briyan Cessac', 'Pierre Rognion', 'done']
['kkemei', 'Comedy112', 'Update README.md']
['kkemei', 'Comedy112', 'Update README.md']
['Bruna', 'Rocsantos', "Merge branch 'master' of https://github.com/damarcones/Trabalho_OO"]
['Bruna', 'Rocsantos', "Merge branch 'master' of https://github.com/damarcones/Trabalho_OO"]
['Bruna', 'Rocsantos', "Merge branch 'master' of https://github.com/damarcones/Trabalho_OO"]
['Bruna', 'Rocsantos', "Merge branch 'master' of https://github.com/damarcones/Trabalho_OO"]
['Bruno Abreu', 'Jeymisson Oliveira', 'Update changelog']
['BrunoMunozY', 'EpicMac', 'Update PaybackPeriodJS.js']
['Bryan Kisby', 'Julie', "Merge branch 'master' of https://github.com/justinaray828/GlobalGameJam2019"]
['Bryan Kisby', 'Julie', "Merge branch 'master' of https://github.com/justinaray828/GlobalGameJam2019"]
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['ZAG852', 'Bryan Fratianne', 'Update README.md']
['Kristin Fender', 'Tonya Fehr', 'Update data-management-api.md']
['Kristin Fender', 'Tonya Fehr', 'Update data-management-api.md']
['Kristin Fender', 'Tonya Fehr', 'Update data-management-api.md']
['Denis Dorozhkin', 'Denis', "Merge branch 'master' into develop"]
['Mikael Lindström', 'Todd D Nestor', "Merge branch 'master' into master"]
['Mikael Lindström', 'Todd D Nestor', "Merge branch 'master' into master"]
['CHERRY TEAM', 'xulek', 'Update README.md']
['CHarvey820', 'Trevor Wensman', "Merge branch 'master' into master"]
['CK2800', 'MortenFeldtStudent', 'Merge conflict solved']
['CK2800', 'MortenFeldtStudent', 'Merge conflict solved']
['Yousef Ouda', 'Zvonimir Fras', "Merge branch 'master' into search"]
['Caleb', 'casmith67', 'Initial commit']
['casmith67', 'Caleb', 'Initial commit']
['Steve Rydz', 'Robin Winslow', 'Update renovate.json']
['Calum MacUisdean', 'Alex Nuttgens', 'Bumping version number']
['Calum MacUisdean', 'Alex Nuttgens', 'Bumping version number']
['Calum MacUisdean', 'Alex Nuttgens', 'Bumping version number']
['Alex Nuttgens', 'Calum MacUisdean', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Matthew Wilkes', 'Calum MacUisdean', 'Bumping version number']
['Calum MacUisdean', 'Matthew Wilkes', 'Bumping version number']
['stsdc', 'Stanisław', "Merge branch 'unstable'"]
['Cameron Pak', 'Anchor Staff', 'Update Site Config “banner”']
['Cameron Pak', 'Anchor Staff', 'Update Site Config “banner”']
['Anchor Staff', 'Zach Hites', 'Update Event “2019-07-23-love-okc-one-day”']
['Anchor Staff', 'Zach Hites', 'Update Event “2019-07-23-love-okc-one-day”']
['Anchor Staff', 'Zach Hites', 'Update Event “2019-07-23-love-okc-one-day”']
['Anchor Staff', 'Zach Hites', 'Update Event “2019-07-23-love-okc-one-day”']
['Anchor Staff', 'Zach Hites', 'Update Event “2019-07-23-love-okc-one-day”']
['CamilleLeRoux', 'Quentin', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['CamilleLeRoux', 'Quentin', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['CamilleLeRoux', 'DUPONT Paul', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Quentin', 'DUPONT Paul', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Quentin', 'CamilleLeRoux', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Quentin', 'CamilleLeRoux', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Quentin', 'DUPONT Paul', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Quentin', 'CamilleLeRoux', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Quentin', 'CamilleLeRoux', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['DUPONT Paul', 'CamilleLeRoux', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['DUPONT Paul', 'CamilleLeRoux', "Merge branch 'dev' of https://github.com/Polytech-PFE2019/pfe-2019-pfe2019-001 into dev"]
['Canellas', 'rodrigo-canellas', 'studying...']
['Canellas', 'rodrigo-canellas', 'studying...']
['CarloSircana', 'Claus Fieker', "Merge branch 'master' of https://github.com/thofma/Hecke.jl"]
['Claus Fieker', 'CarloSircana', "Merge branch 'master' of https://github.com/thofma/Hecke.jl"]
['Carlos Abargues', 'Vicent Gozalbes', 'Update docs']
['Carlos Abargues', 'Vicent Gozalbes', 'Update docs']
['Carlos Abargues', 'Vicent Gozalbes', 'Update docs']
['Carlos Alandete Sastre', 'Carlos A Sastre', 'Add ExtendInterface selector']
['OCA Git Bot', 'OCA-git-bot', '[UPD] README.rst']
['Rey vd Berg', 'Rhys', 'Update project_oop.md']
['VitorRoda', 'astolphideve', "Merge branch 'master' of https://github.com/KiltzX/FernandoEmpresa"]
['Carlos Ledezma', 'Carlos A. Ledezma', 'Include models and update config files']
['Rias', 'Freek Van der Herten', 'Update CHANGELOG.md']
['Rias', 'Freek Van der Herten', 'Update CHANGELOG.md']
['Jesse Glick', 'Vincent Latombe', "Merge branch 'master' into SecretsMasker-JENKINS-57893"]
['Jesse Glick', 'Vincent Latombe', "Merge branch 'master' into SecretsMasker-JENKINS-57893"]
['Jordan Rowland', 'allgooda', 'merging dev into pre-staging']
['Jordan Rowland', 'allgooda', 'merging dev into pre-staging']
['Carsten Schildknecht', 'Marlin Baumgart', "Merge branch 'master' into feature/webpack-rework"]
['Carsten Schildknecht', 'Marlin Baumgart', "Merge branch 'master' into feature/webpack-rework"]
['Caryl Marie', 'Jam', "Merge branch 'frontend' of https://github.com/theorivera29/ngcbdc into frontend"]
['Caryl Marie', 'jamspicaa', "Merge branch 'frontend' of https://github.com/theorivera29/ngcbdc into frontend"]
['Jam', 'jamspicaa', "Merge branch 'frontend' of https://github.com/theorivera29/ngcbdc into frontend"]
['Casanova569', 'Jose', "Merge branch 'swagger' into add-validations-to-setters"]
['Casanova569', 'Jose', "Merge branch 'swagger' into add-validations-to-setters"]
['Jose', 'Casanova569', "Merge branch 'swagger' into add-validations-to-setters"]
['Jose', 'Casanova569', "Merge branch 'swagger' into add-validations-to-setters"]
['Caselles', 'TLESORT', "Merge branch 'circular_movement_omnibot' of https://github.com/GaspardQin/robotics-rl-srl into circular_movement_omnibot"]
['Caselles', 'TLESORT', "Merge branch 'circular_movement_omnibot' of https://github.com/GaspardQin/robotics-rl-srl into circular_movement_omnibot"]
['Caselles', 'TLESORT', "Merge branch 'circular_movement_omnibot' of https://github.com/GaspardQin/robotics-rl-srl into circular_movement_omnibot"]
['Rosemary Ly', 'msarandi', 'new branch']
['Casper Kjærhus Leth', 'magnusglinvad', "Merge branch 'dev' of https://github.com/CasperKjaerhus/Digital-Mealplan into dev"]
['magnusglinvad', 'Casper Kjærhus Leth', "Merge branch 'dev' of https://github.com/CasperKjaerhus/Digital-Mealplan into dev"]
['Jon Kurinsky', 'Brendan Fallon', "Merge branch 'master' into rotate-canvas"]
['Jon Kurinsky', 'Brendan Fallon', "Merge branch 'master' into rotate-canvas"]
['Brendan Fallon', 'Jon Kurinsky', "Merge branch 'master' into rotate-canvas"]
['Jon Kurinsky', 'Brendan Fallon', "Merge branch 'master' into rotate-canvas"]
['Cassey Low', 'Ruhani Suri', "Merge branch 'master' into master"]
['Cathy Chamberlin', 'Rachel Bash', "Merge branch 'master' of https://github.com/KateriSalk/Hydrologic_Data_Analysis"]
['Cathy Chamberlin', 'Rachel Bash', "Merge branch 'master' of https://github.com/KateriSalk/Hydrologic_Data_Analysis"]
['Cathy Chamberlin', 'Rachel Bash', "Merge branch 'master' of https://github.com/KateriSalk/Hydrologic_Data_Analysis"]
['Cathy Chamberlin', 'Rachel Bash', "Merge branch 'master' of https://github.com/KateriSalk/Hydrologic_Data_Analysis"]
['Michael Bauer', 'cclerget', "Merge branch 'master' into master-tests-unix"]
['Cedric Moitrier', 'tdraier', '[jgitflow-maven-plugin]updating poms for backlog_7485 version']
['Chachichundrik', 'Ilia Liubimov', "Merge branch 'master' into patch-1"]
['Robert Bradshaw', 'Lukasz Cwik', 'Remove obsolete field from proto.']
['Luke Cwik', 'Lukasz Cwik', '[BEAM-8161] Update joda time to 2.10.3 to get TZDB 2019b']
['Chad Person', 'nick arrasate', "Merge branch 'master' of github.com:bowtie-co/McSquaresTheme"]
['Chad Person', 'nick arrasate', "Merge branch 'master' of github.com:bowtie-co/McSquaresTheme"]
['ChadSZ', 'maxuedi', 'Add files via upload']
['ChadSZ', 'lc0122', 'Add files via upload']
['ChadSZ', 'lc0122', 'Add files via upload']
['ChadSZ', 'chenliu', 'Add files via upload']
['maxuedi', 'lc0122', 'Add files via upload']
['maxuedi', 'lc0122', 'Add files via upload']
['maxuedi', 'chenliu', 'Add files via upload']
['lc0122', 'chenliu', 'Add files via upload']
['lc0122', 'chenliu', 'Add files via upload']
['Chamod Sachin', 'shehantha Edirisinghe', 'fixed']
['Ashish Chopra', 'birendra-bit', "Merge remote-tracking branch 'upstream/master'"]
['Dave Snider', 'Nicolás Bevacqua', 'Updated documentation.']
['Dave Snider', 'Greg Thompson', 'Updated documentation.']
['Nicolás Bevacqua', 'Greg Thompson', 'Updated documentation.']
['Nicolás Bevacqua', 'Chandler Prall', 'Updated documentation.']
['Markus von Rüden', 'Jesse White', "Merge remote-tracking branch 'origin/develop' into features/drift2"]
['Chansung Park', 'fuzzythecat', 'Update optimizers.md']
['Chansung Park', 'fuzzythecat', 'Update optimizers.md']
['Charcharbinkz', 'Victoria Chan', 'Update (FR) Billet de Blogue “de-petits-gestes-ayant-des-retombées-significatives”']
['Felix Naerger', 'Freddyvl', 'fix']
['Freddyvl', 'Felix Naerger', 'fix']
['CharlesC51', 'tmt', 'fix conflict']
['Chen-Yu Tsai', 'Maxime Ripard', 'Re: [PATCH] ARM: dts: allwinner: restore hdmi_con_in node']
['YCL', 'Cheng_Han', "Merge branch 'develop' of github.com:vlive/vdisplay into develop"]
['Xingqang Bai', 'wheat', "Merge branch 'release-2.0.1' into release-2.0.1"]
['Cheolhyeon Park', 'sgjh4040', "Merge branch 'develop' of https://github.com/syeong1/shary into develop"]
['sgjh4040', 'Cheolhyeon Park', "Merge branch 'develop' of https://github.com/syeong1/shary into develop"]
['Chetan Patil', 'Bhushan Malgaonkar', 'Update README.md']
['Chetan Patil', 'Bhushan Malgaonkar', 'Update README.md']
['Chetan Patil', 'Bhushan Malgaonkar', 'Update README.md']
['Chetan Patil', 'Bhushan Malgaonkar', 'Update README.md']
['ChiaTienLiang', 'PC', '...']
['Daniel Farley', 'Anshuman Padhi', 'Update contributers.md']
['Daniel Farley', 'SRamanauskas', 'Update contributers.md']
['Daniel Farley', 'Manuel Gil', 'Update contributers.md']
['Daniel Farley', 'Ankit Kumar', 'Update contributers.md']
['Daniel Farley', 'Ankit Kumar', 'Update contributers.md']
['Daniel Farley', 'mesropandreasyan', 'Update contributers.md']
['Daniel Farley', 'lookingserious', 'Update contributers.md']
['Daniel Farley', 'apleht', 'Update contributers.md']
['Daniel Farley', 'Maciej Bregisz', 'Update contributers.md']
['Anshuman Padhi', 'SRamanauskas', 'Update contributers.md']
['Anshuman Padhi', 'Manuel Gil', 'Update contributers.md']
['Anshuman Padhi', 'Ankit Kumar', 'Update contributers.md']
['Anshuman Padhi', 'Ankit Kumar', 'Update contributers.md']
['Anshuman Padhi', 'mesropandreasyan', 'Update contributers.md']
['Anshuman Padhi', 'lookingserious', 'Update contributers.md']
['Anshuman Padhi', 'apleht', 'Update contributers.md']
['Anshuman Padhi', 'Maciej Bregisz', 'Update contributers.md']
['SRamanauskas', 'Manuel Gil', 'Update contributers.md']
['SRamanauskas', 'Ankit Kumar', 'Update contributers.md']
['SRamanauskas', 'Ankit Kumar', 'Update contributers.md']
['SRamanauskas', 'mesropandreasyan', 'Update contributers.md']
['SRamanauskas', 'lookingserious', 'Update contributers.md']
['SRamanauskas', 'apleht', 'Update contributers.md']
['SRamanauskas', 'Maciej Bregisz', 'Update contributers.md']
['Manuel Gil', 'Ankit Kumar', 'Update contributers.md']
['Manuel Gil', 'Ankit Kumar', 'Update contributers.md']
['Manuel Gil', 'mesropandreasyan', 'Update contributers.md']
['Manuel Gil', 'lookingserious', 'Update contributers.md']
['Manuel Gil', 'apleht', 'Update contributers.md']
['Manuel Gil', 'Maciej Bregisz', 'Update contributers.md']
['Ankit Kumar', 'mesropandreasyan', 'Update contributers.md']
['Ankit Kumar', 'lookingserious', 'Update contributers.md']
['Ankit Kumar', 'apleht', 'Update contributers.md']
['Ankit Kumar', 'Maciej Bregisz', 'Update contributers.md']
['Ankit Kumar', 'mesropandreasyan', 'Update contributers.md']
['Ankit Kumar', 'lookingserious', 'Update contributers.md']
['Ankit Kumar', 'apleht', 'Update contributers.md']
['Ankit Kumar', 'Maciej Bregisz', 'Update contributers.md']
['mesropandreasyan', 'lookingserious', 'Update contributers.md']
['mesropandreasyan', 'apleht', 'Update contributers.md']
['mesropandreasyan', 'Maciej Bregisz', 'Update contributers.md']
['lookingserious', 'apleht', 'Update contributers.md']
['lookingserious', 'Maciej Bregisz', 'Update contributers.md']
['apleht', 'Maciej Bregisz', 'Update contributers.md']
['Piotr Karwatka', 'Patryk Tomczyk', "Merge branch 'develop' into bugfix/google-tag-manager-issue"]
['Chloé Leteinturier', 'Fabio Núñez', 'merge']
['Fabio Núñez', 'Chloé Leteinturier', 'merge']
['Chojan Shang', 'lnrCoder', 'translated']
['Chris', 'Chris Davidson', "Merge branch 'master' into sscs-6798-confirm-lapse"]
['Chris', 'Chris Davidson', "Merge branch 'master' into sscs-6319-dwp-lapse"]
['chris241', 'Nam-9', 'maj']
['Nam-9', 'chris241', 'maj']
['Nam-9', 'chris241', 'maj']
['tsiry', 'tsiryJL', 'eco seveur']
['Radek Simko', 'appilon', 'Update CHANGELOG.md']
['Peerat', 'VPAbraham', "Merge branch 'master' into styling-2"]
['Chris Dalla Santa', 'cdallasanta', 'Done.']
['Ken Withee', 'Trent Green', "Merge branch 'master' into patch-4"]
['Ron Grzywacz', 'Chris Davis', "Merge branch 'live' into patch-2"]
['Ken Withee', 'Trent Green', "Merge branch 'master' into patch-39"]
['Ken Withee', 'Trent Green', "Merge branch 'master' into patch-39"]
['Ken Withee', 'Trent Green', "Merge branch 'master' into patch-39"]
['Ken Withee', 'Trent Green', "Merge branch 'master' into patch-39"]
['Chris Hinds', 'Benjamin Hobbs', "Merge branch 'latest' into renaming-bablerc"]
['Chris Hinds', 'Benjamin Hobbs', "Merge branch 'latest' into renaming-bablerc"]
['Chris Hinds', 'Amy Walker', "Merge branch 'latest' into renaming-bablerc"]
['Benjamin Hobbs', 'Chris Hinds', "Merge branch 'latest' into renaming-bablerc"]
['Benjamin Hobbs', 'Amy Walker', "Merge branch 'latest' into renaming-bablerc"]
['Chris Hinds', 'Benjamin Hobbs', "Merge branch 'latest' into renaming-bablerc"]
['Chris Hinds', 'Amy Walker', "Merge branch 'latest' into renaming-bablerc"]
['Benjamin Hobbs', 'Amy Walker', "Merge branch 'latest' into renaming-bablerc"]
['Gerrit Niezen', 'Chris McGee', "Merge branch 'develop' into ad-hoc-dialog"]
['Gerrit Niezen', 'Chris McGee', "Merge branch 'develop' into ad-hoc-dialog"]
['Chris McGee', 'Gerrit Niezen', "Merge branch 'develop' into ad-hoc-dialog"]
['Chris Thomas', 'Andrew Warren', "Merge branch 'develop' of https://github.com/PATRIC3/p3_web into develop"]
['Chris Troutner', 'Gabriel Cardona', "Merge branch 'stage' into ct-slp-unit-tests"]
['Janusz Krzysztofik', 'Chris Wilson', "Re: [Intel-gfx] [RFC PATCH i-g-t v4 1/4] tests/gem_exec_reloc:\n Don't filter out invalid addresses"]
['Janusz Krzysztofik', 'Chris Wilson', 'Re: [Intel-gfx] [RFC PATCH i-g-t v4 2/4] lib: Add minimum GTT\n alignment helper']
['Tvrtko Ursulin', 'Chris Wilson', 'Re: [Intel-gfx] [PATCH 3/9] drm/i915/gt: Unlock engine-pm after\n queuing the kernel context switch']
['Tvrtko Ursulin', 'Chris Wilson', 'Re: [Intel-gfx] [PATCH 6/9] drm/i915/selftests: Force bonded\n submission to overlap']
['David Gouge', 'Alan Burns', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['David Gouge', 'umakanth-g', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['David Gouge', 'umakanth-g', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['David Gouge', 'Alan Burns', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['David Gouge', 'umakanth-g', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['David Gouge', 'umakanth-g', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['Alan Burns', 'umakanth-g', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['Alan Burns', 'umakanth-g', "Merge branch 'master' into ON-1874_hide_standards_with_past_effective_to_date"]
['David Gouge', 'umakanth-g', "Merge branch 'master' into ON-1826_validate_organisation_type_on_add_new"]
['Drew McMillan', 'Chris Ashton', "Merge branch 'latest' into issue327-part-2"]
['Drew McMillan', 'Sareh', "Merge branch 'latest' into tld-context"]
['Phil Lee', 'Drew McMillan', "Merge branch 'latest' into readme-update-for-envs-builds-on-local"]
['Swauger, William E', 'ChrisBoehmCA', "Removed 'hats'\n\nSigned-off-by: Swauger, William E <William.Swauger@ca.com>\n\n(cherry picked from commit b7c3b60e31cdd46846f31810ed235c22d9637757)\nSigned-off-by: ChrisBoehmCA <Christopher.Boehm@broadcom.com>"]
['MaotianHe', 'ChrisTohFer', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['MaotianHe', 'ChrisTohFer', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['MaotianHe', 'ChrisTohFer', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['MaotianHe', 'Tjalle', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['ChrisTohFer', 'Tjalle', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['ChrisTohFer', 'Tjalle', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['ChrisTohFer', 'Tjalle', "Merge branch 'develop' of https://github.com/Hemmy123/team-true-false into develop"]
['Christian', 'Christian Cury', 'Update']
['Christian Cury', 'Christian', 'Update']
['Christian Cury', 'Christian', 'Update']
['Christian Cury', 'Christian', 'Update']
['Christian', 'Christian Morales', "Merge branch 'master' of https://github.com/sadc-outreach-org/front-end into 77-clickable-rows-on-candidates"]
['youis11', 'OriolCS2', "Merge branch 'master' of https://github.com/polarpathgames/Final-Fantasy-Mystery-World"]
['Christian Meichsner', '菠萝吹雪', 'Update README.md']
['Christian Meichsner', '菠萝吹雪', 'Update README.md']
['Christian Meichsner', '菠萝吹雪', 'Update README.md']
['王杰', '996icu', "Merge branch 'master' into master"]
['王杰', '996icu', "Merge branch 'master' into master"]
['Christoffer Månsson', 'mol1987', "Merge branch 'master' of https://github.com/diarmarqus/newton_grupp3"]
['Christoph Hellwig', 'John Hubbard', 'Re: [PATCH v7 01/24] mm/gup: pass flags arg to __gup_device_*\n functions']
['Christoph Hellwig', 'Johannes Thumshirn', 'Re: [PATCH 3/8] btrfs: Switch to iomap_dio_rw() for dio']
